model,R2_mean,R2_std,MAE_mean,RMSE_mean
XGBoost (tuned),0.5912526129219797,0.012808092249786556,20993.848575820735,29935.526536305388
LightGBM (tuned),0.5894008512024304,0.013288531303595192,21017.566735975684,30002.42921412245
ExtraTrees,0.5602008940384968,0.011313680561615322,21196.171845561043,31052.925669111195
